brand,country,medium,headline,industry
Tzabar,Israel,Print,roger waters live in paris 3 nights  concert €699 monday 30 may 2011,Transport & Tourism
Infiniti,United States,Print,accelerating the future,Automotive & Services
Toyota,Canada,Print,official ride of the spinfest amateur dj awards,Automotive & Services
Friends of the Earth,Germany,Print,travelling fruits cause pollution think global eat local,Public interest & Non-profit
Max Factor,Colombia,Print,the art of beauty,Beauty & Health
Coca-Cola,Denmark,Promotion & Event,makes monday taste like friday,Food & Beverages
DOE,United Kingdom,Print,no seatbelt no excuse,Public interest & Non-profit
Skittles,,Print,the taste is so much fun,Food & Beverages
The Lotus Awards,Canada,Print,the officially licensed gala poster of the games of the xxi lotusiad,Professional & Public services
Eric Bompard,France,Print,soft is the new strong,"Apparel, Clothing, Footwear & Accessories"
DNF,France,TV & Cinema,smoking makes you the garbage dump of the worst toxic products,Public interest & Non-profit
VIVA Música VIVA,Brazil,Print,if you sound good you look good,Education
Jack's Paint & Hardware,,Print,jacks paint by numbers making diy as eay as 123,Retail & Distribution
Olympia Gym,India,Print,the only thing worth losing is weight,"Culture, Recreation & Sport"
,India,Ambient & Interactive,upgrade monstercom the worlds leading career network,Media & Publishing
Shopping Itaguaçu,Brazil,Print,dont let your clothes turn into food for moths donate leave your donations at the mall until july 1st and let them warm the most needy,Retail & Distribution
Wonderbra,France,Print,wonderbra,"Apparel, Clothing, Footwear & Accessories"
Beefie,Nigeria,Print,fills you faster,Food & Beverages
Purina,Paraguay,Print,the warmth theyre looking for is not on the streets,Beauty & Health
Volkswagen,Germany,Print,well imagine that a tiny coin making you rethink the way you spend your days,Automotive & Services
Land Rover,United Arab Emirates,Direct Market,the land rover 2012 calendar  the world is yours to explore and this is your roadmap weve calculated every distance worked out every ferry ride and planned every day based on the terrain you will encounter you just need your visas vaccinations and spirit of adventure interesting places await,Automotive & Services
Stella Artois,United States,Print,reassuringly expensive,Alcoholic drinks
IndieJunior 2014,Portugal,Print,kids arent predictable why kids movies should be,"Culture, Recreation & Sport"
Rádio Record,Brazil,Print,the completely full news,Media & Publishing
Virgin,,Print,give your radio a reason to live,Media & Publishing
Neue Aargauer Bank,Switzerland,Print,if a synchronized swimmer drowns do all the rest drown too we love difficult questions and to financial questions we also have an answer,Financial & Legal services
Tata,India,TV & Cinema,luxury and thrills,Automotive & Services
la Repubblica,Italy,Print,sounds for silence classic silent films reinterpreted by todays musicians as from 30th april at all newsagents,Media & Publishing
Lucozade,United Kingdom,TV & Cinema,lucozade energy do more,Food & Beverages
Volkswagen,Brazil,Print,after opening the hood you will understand the definition of interior beauty 150 horsepower engine it is not just a car it is a golf,Automotive & Services
Maximiles,Turkey,Print,everything you buy makes you fly,Financial & Legal services
Cristalina,Brazil,Ambient & Interactive,caution without water the risk is bigger,Food & Beverages
,China,Print,fashion is ugly thats why it changes every season,"Apparel, Clothing, Footwear & Accessories"
Chiado Publishers,Portugal,Print,open a book open your mind,Media & Publishing
Noah,Germany,Print,the fine art of exterminating an entire species rhinos have survived predators climate change and disease for 50 million years but its asias soaring demand for rhino horn that will doom them every 14 hours a rhino is killed help us save the last rhinos,Public interest & Non-profit
,Taiwan,TV & Cinema,mou wen tea is no problem so what is the problem its really not important just as the advertise doesnt seem to think its important to sell the extraordinary taste and flavor of the tea what matters is that this series of enchanting posterlike tvcs with its superb mixing of music and visual has left a lasting impression with its audience in fact in taiwanese mou wen tea is pronounced the same as no problem bravo,Food & Beverages
DHL,Germany,Print,no size limits,Professional & Public services
Hall's,United Kingdom,Print,dinner times even happier ever after wee willie winkies,Food & Beverages
Latinstock,Argentina,Print,getting anything is much easier than in real life,Professional & Public services
Osim,China,Print,be free from stress,Beauty & Health
Gentleman,Argentina,Print,when you stop being your own protection we will,Beauty & Health
